Unique ID,Product Code,Subproduct Code,Product Name,Description,materials,Size (imp),Size (met),Power,Trade Price,RRP,Catalogue,Range,ImageName,ThumbImageURL,ViewImageURL,Hi-Res URL,Stock,StockLevel,MPN,Manufacturer,Barcode,all_cats,wieght,AllImages,Short Unique
N7828 NS5629,N7828,NS5629,Earthly Body Edible Massage Oil - Watermelon,"This edible massage oil from Earthly Body combines rich nourishing natural oils with a yummy taste and smell!

It's non-greasy, paraben-free, petroleum-free and vegan friendly it's perfect for absolutely everyone.

Ideal for use during erotic massage, simply pour, massage and lick and nibble off.

Contains:

Hemp Seed, Vitamin E, Almond, Grapeseed, and more natural oils",,8 fl oz,236ml,None Required ,9.38,19.99,Couples,Romance,n7828-8oz-edible-massage-oil-group-1.jpg,https://www.1on1wholesale.co.uk/wp-content/uploads/2019/10/n7828-8oz-edible-massage-oil-group-1.jpg,https://www.1on1wholesale.co.uk/wp-content/uploads/2019/10/n7828-8oz-edible-massage-oil-group-1.jpg,https://www.1on1wholesale.co.uk/wp-content/uploads/2019/10/n7828-8oz-edible-massage-oil-group-1.jpg,In Stock,24,MSE004,Earthly Body,898788000943,Couples|Couples|Gifts|Massage|Romance|Eat Me|For Them|Enhancers|Fun and Games,0.259,https://www.1on1wholesale.co.uk/wp-content/uploads/2019/10/n7828-8oz-edible-massage-oil-group-1.jpg|https://www.1on1wholesale.co.uk/wp-content/uploads/2019/10/ns5629-earthly-body-edible-massage-oil-watermelon.jpg|https://www.1on1wholesale.co.uk/wp-content/uploads/2019/10/ns5632-earthly-body-edible-massage-oil-strawberry.jpg|https://www.1on1wholesale.co.uk/wp-content/uploads/2019/10/ns5631-earthly-body-edible-massage-oil-cherry.jpg|https://www.1on1wholesale.co.uk/wp-content/uploads/2019/10/ns5630-earthly-body-edible-massage-oil-vanilla.jpg|https://www.1on1wholesale.co.uk/wp-content/uploads/2014/06/ns5629-earthly-body-edible-massage-oil-watermelon-2.jpg|https://www.1on1wholesale.co.uk/wp-content/uploads/2014/06/ns5631-earthly-body-edible-massage-oil-cherry-2.jpg|https://www.1on1wholesale.co.uk/wp-content/uploads/2014/06/ns5632-earthly-body-edible-massage-oil-strawberry-2.jpg|https://www.1on1wholesale.co.uk/wp-content/uploads/2014/06/ns5630-earthly-body-edible-massage-oil-vanilla-2.jpg,NS5629
N7828 NS5630,N7828,NS5630,Earthly Body Edible Massage Oil - Vanilla,"This edible massage oil from Earthly Body combines rich nourishing natural oils with a yummy taste and smell!

It's non-greasy, paraben-free, petroleum-free and vegan friendly it's perfect for absolutely everyone.

Ideal for use during erotic massage, simply pour, massage and lick and nibble off.

Contains:

Hemp Seed, Vitamin E, Almond, Grapeseed, and more natural oils",,8 fl oz,236ml,None Required ,9.38,19.99,Couples,Romance,n7828-8oz-edible-massage-oil-group-1.jpg,https://www.1on1wholesale.co.uk/wp-content/uploads/2019/10/n7828-8oz-edible-massage-oil-group-1.jpg,https://www.1on1wholesale.co.uk/wp-content/uploads/2019/10/n7828-8oz-edible-massage-oil-group-1.jpg,https://www.1on1wholesale.co.uk/wp-content/uploads/2019/10/n7828-8oz-edible-massage-oil-group-1.jpg,In Stock,15,MSE002,Earthly Body,898788000929,Couples|Couples|Gifts|Massage|Romance|Eat Me|For Them|Enhancers|Fun and Games,0.259,https://www.1on1wholesale.co.uk/wp-content/uploads/2019/10/n7828-8oz-edible-massage-oil-group-1.jpg|https://www.1on1wholesale.co.uk/wp-content/uploads/2019/10/ns5629-earthly-body-edible-massage-oil-watermelon.jpg|https://www.1on1wholesale.co.uk/wp-content/uploads/2019/10/ns5632-earthly-body-edible-massage-oil-strawberry.jpg|https://www.1on1wholesale.co.uk/wp-content/uploads/2019/10/ns5631-earthly-body-edible-massage-oil-cherry.jpg|https://www.1on1wholesale.co.uk/wp-content/uploads/2019/10/ns5630-earthly-body-edible-massage-oil-vanilla.jpg|https://www.1on1wholesale.co.uk/wp-content/uploads/2014/06/ns5629-earthly-body-edible-massage-oil-watermelon-2.jpg|https://www.1on1wholesale.co.uk/wp-content/uploads/2014/06/ns5631-earthly-body-edible-massage-oil-cherry-2.jpg|https://www.1on1wholesale.co.uk/wp-content/uploads/2014/06/ns5632-earthly-body-edible-massage-oil-strawberry-2.jpg|https://www.1on1wholesale.co.uk/wp-content/uploads/2014/06/ns5630-earthly-body-edible-massage-oil-vanilla-2.jpg,NS5630
N7828 NS5631,N7828,NS5631,Earthly Body Edible Massage Oil - Cherry,"This edible massage oil from Earthly Body combines rich nourishing natural oils with a yummy taste and smell!

It's non-greasy, paraben-free, petroleum-free and vegan friendly it's perfect for absolutely everyone.

Ideal for use during erotic massage, simply pour, massage and lick and nibble off.

Contains:

Hemp Seed, Vitamin E, Almond, Grapeseed, and more natural oils",,8 fl oz,236ml,None Required ,9.38,19.99,Couples,Romance,n7828-8oz-edible-massage-oil-group-1.jpg,https://www.1on1wholesale.co.uk/wp-content/uploads/2019/10/n7828-8oz-edible-massage-oil-group-1.jpg,https://www.1on1wholesale.co.uk/wp-content/uploads/2019/10/n7828-8oz-edible-massage-oil-group-1.jpg,https://www.1on1wholesale.co.uk/wp-content/uploads/2019/10/n7828-8oz-edible-massage-oil-group-1.jpg,In Stock,88,MSE001,Earthly Body,898788000912,Couples|Couples|Gifts|Massage|Romance|Eat Me|For Them|Enhancers|Fun and Games,0.259,https://www.1on1wholesale.co.uk/wp-content/uploads/2019/10/n7828-8oz-edible-massage-oil-group-1.jpg|https://www.1on1wholesale.co.uk/wp-content/uploads/2019/10/ns5629-earthly-body-edible-massage-oil-watermelon.jpg|https://www.1on1wholesale.co.uk/wp-content/uploads/2019/10/ns5632-earthly-body-edible-massage-oil-strawberry.jpg|https://www.1on1wholesale.co.uk/wp-content/uploads/2019/10/ns5631-earthly-body-edible-massage-oil-cherry.jpg|https://www.1on1wholesale.co.uk/wp-content/uploads/2019/10/ns5630-earthly-body-edible-massage-oil-vanilla.jpg|https://www.1on1wholesale.co.uk/wp-content/uploads/2014/06/ns5629-earthly-body-edible-massage-oil-watermelon-2.jpg|https://www.1on1wholesale.co.uk/wp-content/uploads/2014/06/ns5631-earthly-body-edible-massage-oil-cherry-2.jpg|https://www.1on1wholesale.co.uk/wp-content/uploads/2014/06/ns5632-earthly-body-edible-massage-oil-strawberry-2.jpg|https://www.1on1wholesale.co.uk/wp-content/uploads/2014/06/ns5630-earthly-body-edible-massage-oil-vanilla-2.jpg,NS5631
N7828 NS5632,N7828,NS5632,Earthly Body Edible Massage Oil - Strawberry,"This edible massage oil from Earthly Body combines rich nourishing natural oils with a yummy taste and smell!

It's non-greasy, paraben-free, petroleum-free and vegan friendly it's perfect for absolutely everyone.

Ideal for use during erotic massage, simply pour, massage and lick and nibble off.

Contains:

Hemp Seed, Vitamin E, Almond, Grapeseed, and more natural oils",,8 fl oz,236ml,None Required ,9.38,19.99,Couples,Romance,n7828-8oz-edible-massage-oil-group-1.jpg,https://www.1on1wholesale.co.uk/wp-content/uploads/2019/10/n7828-8oz-edible-massage-oil-group-1.jpg,https://www.1on1wholesale.co.uk/wp-content/uploads/2019/10/n7828-8oz-edible-massage-oil-group-1.jpg,https://www.1on1wholesale.co.uk/wp-content/uploads/2019/10/n7828-8oz-edible-massage-oil-group-1.jpg,In Stock,31,MSE003,Earthly Body,898788000936,Couples|Couples|Gifts|Massage|Romance|Eat Me|For Them|Enhancers|Fun and Games,0.259,https://www.1on1wholesale.co.uk/wp-content/uploads/2019/10/n7828-8oz-edible-massage-oil-group-1.jpg|https://www.1on1wholesale.co.uk/wp-content/uploads/2019/10/ns5629-earthly-body-edible-massage-oil-watermelon.jpg|https://www.1on1wholesale.co.uk/wp-content/uploads/2019/10/ns5632-earthly-body-edible-massage-oil-strawberry.jpg|https://www.1on1wholesale.co.uk/wp-content/uploads/2019/10/ns5631-earthly-body-edible-massage-oil-cherry.jpg|https://www.1on1wholesale.co.uk/wp-content/uploads/2019/10/ns5630-earthly-body-edible-massage-oil-vanilla.jpg|https://www.1on1wholesale.co.uk/wp-content/uploads/2014/06/ns5629-earthly-body-edible-massage-oil-watermelon-2.jpg|https://www.1on1wholesale.co.uk/wp-content/uploads/2014/06/ns5631-earthly-body-edible-massage-oil-cherry-2.jpg|https://www.1on1wholesale.co.uk/wp-content/uploads/2014/06/ns5632-earthly-body-edible-massage-oil-strawberry-2.jpg|https://www.1on1wholesale.co.uk/wp-content/uploads/2014/06/ns5630-earthly-body-edible-massage-oil-vanilla-2.jpg,NS5632
